state,element left,element right,element up,element down
645,car,out-bounds,out-bounds,log
646,car,out-bounds,out-bounds,lilypad
647,car,out-bounds,out-bounds,out-bounds
648,log,empty,empty,empty
649,log,empty,empty,water
650,log,empty,empty,car
651,log,empty,empty,log
652,log,empty,empty,lilypad
653,log,empty,empty,out-bounds
654,log,empty,water,empty
655,log,empty,water,water
656,log,empty,water,car
657,log,empty,water,log
658,log,empty,water,lilypad
659,log,empty,water,out-bounds
660,log,empty,car,empty
661,log,empty,car,water
662,log,empty,car,car
663,log,empty,car,log
664,log,empty,car,lilypad
665,log,empty,car,out-bounds
666,log,empty,log,empty
667,log,empty,log,water
668,log,empty,log,car
669,log,empty,log,log
670,log,empty,log,lilypad
671,log,empty,log,out-bounds
672,log,empty,lilypad,empty
673,log,empty,lilypad,water
674,log,empty,lilypad,car
675,log,empty,lilypad,log
676,log,empty,lilypad,lilypad
677,log,empty,lilypad,out-bounds
678,log,empty,out-bounds,empty
679,log,empty,out-bounds,water
680,log,empty,out-bounds,car
681,log,empty,out-bounds,log
682,log,empty,out-bounds,lilypad
683,log,empty,out-bounds,out-bounds
684,log,water,empty,empty
685,log,water,empty,water
686,log,water,empty,car
687,log,water,empty,log
688,log,water,empty,lilypad
689,log,water,empty,out-bounds
690,log,water,water,empty
691,log,water,water,water
692,log,water,water,car
693,log,water,water,log
694,log,water,water,lilypad
695,log,water,water,out-bounds
696,log,water,car,empty
697,log,water,car,water
698,log,water,car,car
699,log,water,car,log
700,log,water,car,lilypad
701,log,water,car,out-bounds
702,log,water,log,empty
703,log,water,log,water
704,log,water,log,car
705,log,water,log,log
706,log,water,log,lilypad
707,log,water,log,out-bounds
708,log,water,lilypad,empty
709,log,water,lilypad,water
710,log,water,lilypad,car
711,log,water,lilypad,log
712,log,water,lilypad,lilypad
713,log,water,lilypad,out-bounds
714,log,water,out-bounds,empty
715,log,water,out-bounds,water
716,log,water,out-bounds,car
717,log,water,out-bounds,log
718,log,water,out-bounds,lilypad
719,log,water,out-bounds,out-bounds
720,log,car,empty,empty
721,log,car,empty,water
722,log,car,empty,car
723,log,car,empty,log
724,log,car,empty,lilypad
725,log,car,empty,out-bounds
726,log,car,water,empty
727,log,car,water,water
728,log,car,water,car
729,log,car,water,log
730,log,car,water,lilypad
731,log,car,water,out-bounds
732,log,car,car,empty
733,log,car,car,water
734,log,car,car,car
735,log,car,car,log
736,log,car,car,lilypad
737,log,car,car,out-bounds
738,log,car,log,empty
739,log,car,log,water
740,log,car,log,car
741,log,car,log,log
742,log,car,log,lilypad
743,log,car,log,out-bounds
744,log,car,lilypad,empty
745,log,car,lilypad,water
746,log,car,lilypad,car
747,log,car,lilypad,log
748,log,car,lilypad,lilypad
749,log,car,lilypad,out-bounds
750,log,car,out-bounds,empty
751,log,car,out-bounds,water
752,log,car,out-bounds,car
753,log,car,out-bounds,log
754,log,car,out-bounds,lilypad
755,log,car,out-bounds,out-bounds
756,log,log,empty,empty
757,log,log,empty,water
758,log,log,empty,car
759,log,log,empty,log
760,log,log,empty,lilypad
761,log,log,empty,out-bounds
762,log,log,water,empty
763,log,log,water,water
764,log,log,water,car
765,log,log,water,log
766,log,log,water,lilypad
767,log,log,water,out-bounds
768,log,log,car,empty
769,log,log,car,water
770,log,log,car,car
771,log,log,car,log
772,log,log,car,lilypad
773,log,log,car,out-bounds
